raceId,year,round,circuitId,name,date,time,url,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,sprint_date,sprint_time
1114,2023,16,22,Japanese Grand Prix,2023-09-24,5:00:00,https://en.wikipedia.org/wiki/2023_Japanese_Grand_Prix,9/22/23,2:30:00,9/22/23,6:00:00,9/23/23,2:30:00,9/23/23,6:00:00,Unknown,Unknown
1115,2023,17,78,Qatar Grand Prix,2023-10-08,17:00:00,https://en.wikipedia.org/wiki/2023_Qatar_Grand_Prix,10/6/23,13:30:00,10/7/23,13:00:00,Unknown,Unknown,10/6/23,17:00:00,10/7/23,17:30:00
1116,2023,18,69,United States Grand Prix,2023-10-22,19:00:00,https://en.wikipedia.org/wiki/2023_United_States_Grand_Prix,10/20/23,17:30:00,10/21/23,18:00:00,Unknown,Unknown,10/20/23,21:00:00,10/21/23,22:00:00
1117,2023,19,32,Mexico City Grand Prix,2023-10-29,20:00:00,https://en.wikipedia.org/wiki/2023_Mexico_City_Grand_Prix,10/27/23,18:30:00,10/27/23,22:00:00,10/28/23,17:30:00,10/28/23,21:00:00,Unknown,Unknown
1118,2023,20,18,São Paulo Grand Prix,2023-11-05,17:00:00,https://en.wikipedia.org/wiki/2023_S%C3%A3o_Paulo_Grand_Prix,11/3/23,14:30:00,11/4/23,14:30:00,Unknown,Unknown,11/3/23,18:00:00,11/4/23,18:30:00
1119,2023,21,80,Las Vegas Grand Prix,2023-11-19,6:00:00,https://en.wikipedia.org/wiki/2023_Las_Vegas_Grand_Prix,11/16/23,4:30:00,11/16/23,8:00:00,11/17/23,4:30:00,11/17/23,8:00:00,Unknown,Unknown
1120,2023,22,24,Abu Dhabi Grand Prix,2023-11-26,13:00:00,https://en.wikipedia.org/wiki/2023_Abu_Dhabi_Grand_Prix,11/24/23,9:30:00,11/24/23,13:00:00,11/25/23,10:30:00,11/25/23,14:00:00,Unknown,Unknown
1121,2024,1,3,Bahrain Grand Prix,2024-03-02,15:00:00,https://en.wikipedia.org/wiki/2024_Bahrain_Grand_Prix,2/29/24,11:30:00,2/29/24,15:00:00,3/1/24,12:30:00,3/1/24,16:00:00,Unknown,Unknown
1122,2024,2,77,Saudi Arabian Grand Prix,2024-03-09,17:00:00,https://en.wikipedia.org/wiki/2024_Saudi_Arabian_Grand_Prix,3/7/24,13:30:00,3/7/24,17:00:00,3/8/24,13:30:00,3/8/24,17:00:00,Unknown,Unknown
1123,2024,3,1,Australian Grand Prix,2024-03-24,4:00:00,https://en.wikipedia.org/wiki/2024_Australian_Grand_Prix,3/22/24,1:30:00,3/22/24,5:00:00,3/23/24,1:30:00,3/23/24,5:00:00,Unknown,Unknown
1124,2024,4,22,Japanese Grand Prix,2024-04-07,5:00:00,https://en.wikipedia.org/wiki/2024_Japanese_Grand_Prix,4/5/24,2:30:00,4/5/24,6:00:00,4/6/24,2:30:00,4/6/24,6:00:00,Unknown,Unknown
1125,2024,5,17,Chinese Grand Prix,2024-04-21,7:00:00,https://en.wikipedia.org/wiki/2024_Chinese_Grand_Prix,4/19/24,3:30:00,4/19/24,7:30:00,Unknown,Unknown,4/20/24,7:00:00,4/20/24,3:00:00
1126,2024,6,79,Miami Grand Prix,2024-05-05,20:00:00,https://en.wikipedia.org/wiki/2024_Miami_Grand_Prix,5/3/24,16:30:00,5/3/24,20:30:00,Unknown,Unknown,5/4/24,20:00:00,5/4/24,16:00:00
1127,2024,7,21,Emilia Romagna Grand Prix,2024-05-19,13:00:00,https://en.wikipedia.org/wiki/2024_Emilia_Romagna_Grand_Prix,5/17/24,11:30:00,5/17/24,15:00:00,5/18/24,10:30:00,5/18/24,14:00:00,Unknown,Unknown
1128,2024,8,6,Monaco Grand Prix,2024-05-26,13:00:00,https://en.wikipedia.org/wiki/2024_Monaco_Grand_Prix,5/24/24,11:30:00,5/24/24,15:00:00,5/25/24,10:30:00,5/25/24,14:00:00,Unknown,Unknown
1129,2024,9,7,Canadian Grand Prix,2024-06-09,18:00:00,https://en.wikipedia.org/wiki/2024_Canadian_Grand_Prix,6/7/24,17:30:00,6/7/24,21:00:00,6/8/24,16:30:00,6/8/24,20:00:00,Unknown,Unknown
